M1,M2,G1,G2
0.0,0.0,18.342,0.000
0.0,2.5,18.338,-0.005
0.0,5.0,18.326,-0.023
0.0,7.5,18.305,-0.053
0.0,10.0,18.275,-0.096
0.0,12.5,18.237,-0.151
0.0,15.0,18.189,-0.220
0.0,17.5,18.132,-0.303
0.0,20.0,18.065,-0.399
0.0,22.5,17.988,-0.510
0.0,25.0,17.901,-0.636
0.0,27.5,17.804,-0.777
0.0,30.0,17.696,-0.934
0.0,32.5,17.577,-1.106
0.0,35.0,17.446,-1.296
0.0,37.5,17.305,-1.503
0.0,40.0,17.151,-1.727
0.0,42.5,16.985,-1.970
0.0,45.0,16.807,-2.231
0.0,47.5,16.616,-2.511
0.0,50.0,16.412,-2.811
0.0,52.5,16.195,-3.131
0.0,55.0,15.966,-3.470
0.0,57.5,15.723,-3.830
0.0,60.0,15.467,-4.210
0.0,62.5,15.198,-4.610
0.0,65.0,14.917,-5.030
0.0,67.5,14.623,-5.471
0.0,70.0,14.316,-5.931
0.0,72.5,13.997,-6.411
0.0,75.0,13.667,-6.910
0.0,77.5,13.325,-7.427
0.0,80.0,12.973,-7.961
0.0,82.5,12.611,-8.512
0.0,85.0,12.239,-9.079
0.0,87.5,11.858,-9.661
0.0,90.0,11.469,-10.256
0.0,92.5,11.072,-10.864
0.0,95.0,10.669,-11.483
0.0,97.5,10.259,-12.112
0.0,100.0,9.844,-12.751
0.0,102.5,9.424,-13.396
0.0,105.0,9.001,-14.048
0.0,107.5,8.575,-14.705
0.0,110.0,8.146,-15.365
0.0,112.5,7.715,-16.027
0.0,115.0,7.284,-16.690
0.0,117.5,6.852,-17.351
0.0,120.0,6.422,-18.011
0.0,122.5,5.993,-18.667
0.0,125.0,5.566,-19.317
0.0,127.5,5.142,-19.961
0.0,130.0,4.723,-20.596
0.0,132.5,4.308,-21.222
0.0,135.0,3.900,-21.837
0.0,137.5,3.498,-22.439
0.0,140.0,3.104,-23.027
0.0,142.5,2.718,-23.599
0.0,145.0,2.343,-24.153
0.0,147.5,1.979,-24.688
0.0,150.0,1.628,-25.203
0.0,152.5,1.290,-25.695
0.0,155.0,0.967,-26.163
0.0,157.5,0.660,-26.605
0.0,160.0,0.371,-27.020
2.5,0.0,18.338,0.005
2.5,2.5,18.334,0.000
2.5,5.0,18.322,-0.018
2.5,7.5,18.301,-0.048
2.5,10.0,18.272,-0.091
2.5,12.5,18.233,-0.146
2.5,15.0,18.186,-0.216
2.5,17.5,18.129,-0.299
2.5,20.0,18.062,-0.395
2.5,22.5,17.986,-0.507
2.5,25.0,17.899,-0.633
2.5,27.5,17.802,-0.775
2.5,30.0,17.695,-0.932
2.5,32.5,17.576,-1.105
2.5,35.0,17.446,-1.296
2.5,37.5,17.305,-1.503
2.5,40.0,17.152,-1.729
2.5,42.5,16.986,-1.972
2.5,45.0,16.809,-2.235
2.5,47.5,16.619,-2.516
2.5,50.0,16.416,-2.817
2.5,52.5,16.200,-3.138
2.5,55.0,15.971,-3.479
2.5,57.5,15.729,-3.840
2.5,60.0,15.475,-4.222
2.5,62.5,15.207,-4.623
2.5,65.0,14.926,-5.046
2.5,67.5,14.633,-5.488
2.5,70.0,14.328,-5.950
2.5,72.5,14.010,-6.432
2.5,75.0,13.681,-6.933
2.5,77.5,13.341,-7.451
2.5,80.0,12.990,-7.988
2.5,82.5,12.629,-8.541
2.5,85.0,12.259,-9.110
2.5,87.5,11.880,-9.694
2.5,90.0,11.492,-10.291
